shape	colour	x	y	key	showSelectedlegendshapecolour	showSelected1	fill
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	1	#000000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	2	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	2	#000000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	3	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	3	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	3	#FF0000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	4	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	4	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	4	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	4	#FF0000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	5	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	5	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	5	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	5	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	5	#FF0000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	6	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	6	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	6	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	6	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	6	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	6	#FF0000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	7	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	7	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	7	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	7	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	7	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	7	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	7	#000000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	8	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	8	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	8	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	8	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	8	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	8	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	8	#000000
20	#000000	0.460471440572292	0.026505043979069	8	TRUE	8	#000000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	9	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	9	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	9	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	9	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	9	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	9	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	9	#000000
20	#000000	0.460471440572292	0.026505043979069	8	TRUE	9	#000000
4	#FF0000	0.10895839263685	0.224802679498372	9	FALSE	9	#FF0000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	10	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	10	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	10	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	10	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	10	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	10	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	10	#000000
20	#000000	0.460471440572292	0.026505043979069	8	TRUE	10	#000000
4	#FF0000	0.10895839263685	0.224802679498372	9	FALSE	10	#FF0000
20	#000000	0.388834341196343	0.205763126706769	10	TRUE	10	#000000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	11	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	11	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	11	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	11	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	11	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	11	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	11	#000000
20	#000000	0.460471440572292	0.026505043979069	8	TRUE	11	#000000
4	#FF0000	0.10895839263685	0.224802679498372	9	FALSE	11	#FF0000
20	#000000	0.388834341196343	0.205763126706769	10	TRUE	11	#000000
20	#000000	0.313855906017125	0.110664524122952	11	TRUE	11	#000000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	12	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	12	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	12	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	12	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	12	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	12	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	12	#000000
20	#000000	0.460471440572292	0.026505043979069	8	TRUE	12	#000000
4	#FF0000	0.10895839263685	0.224802679498372	9	FALSE	12	#FF0000
20	#000000	0.388834341196343	0.205763126706769	10	TRUE	12	#000000
20	#000000	0.313855906017125	0.110664524122952	11	TRUE	12	#000000
20	#000000	0.585996305802837	0.17134520607586	12	TRUE	12	#000000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	13	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	13	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	13	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	13	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	13	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	13	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	13	#000000
20	#000000	0.460471440572292	0.026505043979069	8	TRUE	13	#000000
4	#FF0000	0.10895839263685	0.224802679498372	9	FALSE	13	#FF0000
20	#000000	0.388834341196343	0.205763126706769	10	TRUE	13	#000000
20	#000000	0.313855906017125	0.110664524122952	11	TRUE	13	#000000
20	#000000	0.585996305802837	0.17134520607586	12	TRUE	13	#000000
20	#000000	0.202730175107718	0.154419099356997	13	TRUE	13	#000000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	14	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	14	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	14	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	14	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	14	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	14	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	14	#000000
20	#000000	0.460471440572292	0.026505043979069	8	TRUE	14	#000000
4	#FF0000	0.10895839263685	0.224802679498372	9	FALSE	14	#FF0000
20	#000000	0.388834341196343	0.205763126706769	10	TRUE	14	#000000
20	#000000	0.313855906017125	0.110664524122952	11	TRUE	14	#000000
20	#000000	0.585996305802837	0.17134520607586	12	TRUE	14	#000000
20	#000000	0.202730175107718	0.154419099356997	13	TRUE	14	#000000
20	#000000	0.467272034846246	0.129393103183617	14	TRUE	14	#000000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	15	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	15	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	15	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	15	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	15	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	15	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	15	#000000
20	#000000	0.460471440572292	0.026505043979069	8	TRUE	15	#000000
4	#FF0000	0.10895839263685	0.224802679498372	9	FALSE	15	#FF0000
20	#000000	0.388834341196343	0.205763126706769	10	TRUE	15	#000000
20	#000000	0.313855906017125	0.110664524122952	11	TRUE	15	#000000
20	#000000	0.585996305802837	0.17134520607586	12	TRUE	15	#000000
20	#000000	0.202730175107718	0.154419099356997	13	TRUE	15	#000000
20	#000000	0.467272034846246	0.129393103183617	14	TRUE	15	#000000
4	#FF0000	0.0487988234963268	0.0660731733140777	15	FALSE	15	#FF0000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	16	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	16	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	16	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	16	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	16	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	16	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	16	#000000
20	#000000	0.460471440572292	0.026505043979069	8	TRUE	16	#000000
4	#FF0000	0.10895839263685	0.224802679498372	9	FALSE	16	#FF0000
20	#000000	0.388834341196343	0.205763126706769	10	TRUE	16	#000000
20	#000000	0.313855906017125	0.110664524122952	11	TRUE	16	#000000
20	#000000	0.585996305802837	0.17134520607586	12	TRUE	16	#000000
20	#000000	0.202730175107718	0.154419099356997	13	TRUE	16	#000000
20	#000000	0.467272034846246	0.129393103183617	14	TRUE	16	#000000
4	#FF0000	0.0487988234963268	0.0660731733140777	15	FALSE	16	#FF0000
20	#000000	0.865097438450903	0.0622878661115883	16	TRUE	16	#000000
20	#000000	0.508312347577885	0.224353860150542	1	TRUE	17	#000000
20	#000000	0.600987698882818	0.00256488175799764	2	TRUE	17	#000000
4	#FF0000	0.778006038162857	0.237988913793553	3	FALSE	17	#FF0000
4	#FF0000	0.722179252654314	0.248520639132857	4	FALSE	17	#FF0000
4	#FF0000	0.278983769472688	0.246448628051424	5	FALSE	17	#FF0000
4	#FF0000	0.361560815246776	0.23854385338002	6	FALSE	17	#FF0000
20	#000000	0.313128740061075	0.0575512850381057	7	TRUE	17	#000000
20	#000000	0.460471440572292	0.026505043979069	8	TRUE	17	#000000
